"GEAR_TEMPERATURE","SURFACE_TEMPERATURE","STATIONID","STRATUM","HAUL","HAUL_TYPE","PERFORMANCE","CRUISE_ID","BOTTOM_DEPTH","CRUISE","VESSEL","EVENT_TYPE_ID","SURVEY_DEFINITION_ID","geometry"
10.15,10.2,"BB-06",71,29,3,0,775,21,202502,162,9,143,c(-512602.353384297, 1600264.59405525)
2.87,4.6,"BB-03",71,38,3,0,775,34,202502,162,9,143,c(-622281.747325056, 1618008.99978634)
1.8,2.3,"CC-02",71,40,3,0,775,32,202502,162,9,143,c(-650612.357576825, 1665756.68121141)
1.42,1.6,"AA-02",71,42,3,0,775,30,202502,162,9,143,c(-663892.249292495, 1591605.16856543)
1.4,2.9,"ZZ-01",71,54,3,0,775,29,202502,162,9,143,c(-707506.701779998, 1565400.99074746)
